"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.05425,-100.677328471509,-111.873934624203,-11.196606152694,0.25,0.799999999999995,1.70000000000001,-94.6207905309363,-12.8028443778544,7.4605953268543,86.7982021977285,0.05425,0.054,1085,"2026_04_28_0002","2026_04_28_0002_ev00001_rec0","no",404455
2,0,0.0942,-100.627962322738,-106.433872209513,-5.80590988677525,0.0499999999999945,0.400000000000011,0,-94.3358195370201,-8.0362091246332,6.19360461754041,137.896641650439,0.0942,0.0938,1884,"2026_04_28_0002","2026_04_28_0002_ev00002_rec0","no",404456
3,0,0.12935,-96.1873360356104,-113.818256596196,-17.6309205605858,0.450000000000006,7.75000000000001,8.19999999999999,-96.2092843253896,-30.2332397499548,5.32817503471793,-188.459715625096,0.12855,0.1281,2587,"2026_04_28_0002","2026_04_28_0002_ev00003_rec0","no",404457
4,0,0.1845,-97.7175916443065,-132.704379290247,-34.9867876459406,3.15000000000001,5.84999999999999,5.3,-98.6027050523615,-33.5953772172297,5.17144488311679,-264.302119665632,0.1843,0.18095,3690,"2026_04_28_0002","2026_04_28_0002_ev00004_rec0","no",404458
5,0,0.2824,-105.238104394762,-121.65936093595,-16.4212565411878,0.549999999999995,30.5,28.2,-114832.863563235,114730.192353941,374260.985085833,-66.0786384853517,0.28215,0.2816,5648,"2026_04_28_0002","2026_04_28_0002_ev00005_rec0","no",404459
6,0,0.3029,-99.6786480082733,-122.787549295792,-23.1089012875187,3,7.84999999999997,6.45000000000001,-96.6085251451486,-24.1089856217515,8.85742764553644,-178.600401355903,0.3021,0.29905,6058,"2026_04_28_0002","2026_04_28_0002_ev00006_rec0","no",404460
7,0,0.48285,-99.6550534644867,-108.143563244462,-8.48850977997559,0.149999999999983,3.95000000000001,3.90000000000001,-99.8979895603801,-10.9202694441108,2.95101949635517,-50.2950301292324,0.4815,0.4811,9657,"2026_04_28_0002","2026_04_28_0002_ev00007_rec0","no",404461
8,0,0.57425,-100.401817961742,-113.786207127847,-13.3843891661042,0.399999999999956,2.54999999999994,2,-99.9229449777457,-11.148502232439,2.80602800146546,-27.6423705342393,0.57405,0.5725,11485,"2026_04_28_0002","2026_04_28_0002_ev00008_rec0","no",404462
9,0,0.6799,-101.331807009222,-146.948422239161,-45.6166152299387,1.74999999999992,5.70000000000004,6.00000000000001,-103.185584189078,-43.9115836354914,5.59054833992675,-364.243838342331,0.6793,0.6775,13598,"2026_04_28_0002","2026_04_28_0002_ev00009_rec0","no",404463
10,0,0.94845,-102.784611501758,-116.231956302751,-13.4473448009931,0.549999999999939,8.24999999999998,8.29999999999997,-98.348517928803,-24.9764476155496,8.47994483168727,-94.0779715352039,0.9475,0.94695,18969,"2026_04_28_0002","2026_04_28_0002_ev00010_rec0","no",404464
11,0,1.39915,-95.8097398522237,-101.556137649846,-5.74639779762215,0.950000000000006,10.2000000000002,9.80000000000003,-95.9454038287985,-15.3123285632644,4.79368803696283,-114.064125252872,1.39675,1.3958,27983,"2026_04_28_0002","2026_04_28_0002_ev00011_rec0","no",404465
12,0,1.50505,-100.74919227584,-123.316541308691,-22.567349032851,0.350000000000072,5.00000000000012,4.35000000000008,-100.866628035838,-36.0179311145982,2.94292969626852,-162.98230118349,1.5025,1.50215,30101,"2026_04_28_0002","2026_04_28_0002_ev00012_rec0","no",404466
13,0,1.5368,-91.2131570760938,-99.7466116446788,-8.533454568585,0.750000000000028,5.20000000000009,3.84999999999991,-537378.235287405,537287.958217498,504887.689700912,-466.903774044552,1.53635,1.5356,30736,"2026_04_28_0002","2026_04_28_0002_ev00013_rec0","no",404467
14,0,1.5626,-101.807933802688,-143.595954640847,-41.7880208381586,1.24999999999997,6.19999999999998,6.70000000000015,-104.181435586992,-38.1082390473217,6.25778481777514,-378.999308720101,1.56105,1.5595,31252,"2026_04_28_0002","2026_04_28_0002_ev00014_rec0","no",404468
15,0,1.58655,-108.789357897991,-112.174898135866,-3.38554023787471,0.150000000000095,0.150000000000095,0,-86.7199051000427,-22.419563535825,26.2260387749152,261.35038581781,1.58655,1.5864,31731,"2026_04_28_0002","2026_04_28_0002_ev00015_rec0","no",404469
16,0,1.63015,-98.4026405514951,-154.256899477833,-55.8542589263375,1.80000000000002,6.14999999999988,5.70000000000004,-97.7590108560807,-64.6722966142221,5.12977131516608,-426.891313774823,1.62895,1.6267,32603,"2026_04_28_0002","2026_04_28_0002_ev00016_rec0","no",404470
17,0,1.69025,-98.180379109409,-135.359039746874,-37.1786606374654,1.80000000000002,4.14999999999988,4.65000000000004,-99.8534047136054,-28.4024272082847,5.46091499091573,-251.640647082047,1.69015,1.68785,33805,"2026_04_28_0002","2026_04_28_0002_ev00017_rec0","no",404471
18,0,1.8344,-103.241508200108,-109.372981398432,-6.13147319832376,0.450000000000061,0.34999999999985,0.650000000000039,-97.7600429455305,-9.18844881163361,3.9276582742265,125.59992300072,1.8337,1.8332,36688,"2026_04_28_0002","2026_04_28_0002_ev00018_rec0","no",404472
19,0,1.9662,-100.346540689138,-104.895129539807,-4.54858885066889,0.299999999999967,0,0.0500000000001055,-98.3654556367907,-3.78803411300012,1.34272425097052,51.0792062748594,1.9662,1.9659,39324,"2026_04_28_0002","2026_04_28_0002_ev00019_rec0","no",404473
20,0,2.03195,-103.694373684143,-151.580179192124,-47.8858055079808,7.84999999999991,13.8000000000003,15.0000000000001,-61.6357221603751,-87.828041240733,38.9968028481327,-813.063006501886,2.03045,2.0224,40639,"2026_04_28_0002","2026_04_28_0002_ev00020_rec0","no",404474
21,0,2.2646,-101.546062301724,-111.517366540179,-9.9713042384552,0.0499999999998835,0.0499999999998835,0,-96.5792880858767,-4.06920192195573,9.99318145844497,105.42035661838,2.2646,2.2643,45292,"2026_04_28_0002","2026_04_28_0002_ev00021_rec0","no",404475
22,0,2.38995,-96.5972821279935,-106.075255645299,-9.47797351730564,0.0499999999998835,2.79999999999969,4.55000000000005,-97.5269217167938,-6.93678201136009,4.59731880572338,-62.0471347648063,2.38965,2.3894,47799,"2026_04_28_0002","2026_04_28_0002_ev00022_rec0","no",404476
23,0,2.52955,-100.159337300972,-130.030731334444,-29.871394033472,3.95000000000012,8.00000000000001,5.79999999999981,-106.82689389352,-26.0301189523771,3.25503457994119,-392.160090419111,2.52905,2.5251,50591,"2026_04_28_0002","2026_04_28_0002_ev00023_rec0","no",404477
24,0,2.6733,-95.3881817775836,-117.476051479801,-22.087869702217,2.39999999999974,5.84999999999969,7.75000000000015,-97.5038180042983,-18.5149686696316,6.93403325153465,-235.345027233143,2.6724,2.66985,53466,"2026_04_28_0002","2026_04_28_0002_ev00024_rec0","no",404478
25,0,2.8936,-96.8981395927881,-149.857397287593,-52.9592576948051,1.65000000000015,8.55000000000006,8.95000000000001,-93.016490418431,-57.9320891911172,9.92978316443671,-531.038069133361,2.8926,2.89085,57872,"2026_04_28_0002","2026_04_28_0002_ev00025_rec0","no",404479
26,0,3.056,-98.0391383160469,-117.272745085706,-19.233606769659,0.249999999999861,2.49999999999995,3.3000000000003,-99.0923879136855,-15.4698047837334,3.51222370990551,-120.912803113289,3.0539,3.05335,61120,"2026_04_28_0002","2026_04_28_0002_ev00026_rec0","no",404480
27,0,3.1197,-91.9216897460743,-102.722545629842,-10.8008558837676,0.500000000000167,13.9500000000004,29.9999999999998,-95.8451170493001,-8.57236884214667,7.9064290294157,-193.384450096832,3.1194,3.1189,62394,"2026_04_28_0002","2026_04_28_0002_ev00027_rec0","no",404481
28,0,3.26795,-100.767324725502,-111.733072637553,-10.9657479120511,0.100000000000211,0.199999999999978,0.349999999999628,-94.5270688593492,-10.7580629916448,7.56556167115128,104.74777626144,3.2674,3.26725,65359,"2026_04_28_0002","2026_04_28_0002_ev00028_rec0","no",404482
29,0,3.37095,-101.111845979455,-104.313952111005,-3.20210613155015,0.500000000000167,3.05,2.95000000000023,-97.8378656696985,-8.63241935303721,4.45158441421911,46.5306164851148,3.3698,3.3681,67419,"2026_04_28_0002","2026_04_28_0002_ev00029_rec0","no",404483
30,0,3.4407,-97.8052732287254,-135.200904541323,-37.3956313125976,1.65000000000015,14.6000000000002,16.95,39756.4716670568,-39887.6680953698,34539.0476425379,-558.751702240417,3.43965,3.4377,68814,"2026_04_28_0002","2026_04_28_0002_ev00030_rec0","no",404484
31,0,3.6062,-98.8812727454005,-206.090218298457,-107.208945553057,3.64999999999993,7.14999999999977,5.14999999999999,-101.767429056425,-102.717400088481,5.02224344640041,-931.703148630416,3.6052,3.6014,72124,"2026_04_28_0002","2026_04_28_0002_ev00031_rec0","no",404485
32,0,3.67625,-100.61072922804,-103.087217554558,-2.47648832651811,0.150000000000095,20.95,19.8499999999999,-319859.995408659,319765.123275926,952937.291638156,19.4384217862523,3.67625,3.6758,73525,"2026_04_28_0002","2026_04_28_0002_ev00032_rec0","no",404486
33,0,3.77605,-99.9521529367986,-110.986620170755,-11.0344672339559,0.0999999999997669,3.80000000000003,4.04999999999989,-96.0555710997941,-20.710914188148,4.24180329710793,23.0950823369984,3.7757,3.77555,75521,"2026_04_28_0002","2026_04_28_0002_ev00033_rec0","no",404487
34,0,3.8548,-102.816724766025,-109.920300190862,-7.10357542483723,0.150000000000095,0.950000000000006,1.1000000000001,-97.1294458487753,-10.7603841042267,4.22371865443091,122.433086077004,3.8546,3.854,77096,"2026_04_28_0002","2026_04_28_0002_ev00034_rec0","no",404488
35,0,3.94365,-97.3786965090336,-129.391701345878,-32.0130048368447,0.750000000000028,2.79999999999969,2.60000000000016,-98.6378525795154,-32.6376918676865,2.30075930839631,-142.747426220433,3.94335,3.9424,78873,"2026_04_28_0002","2026_04_28_0002_ev00035_rec0","no",404489
36,0,4.0193,-98.2509570341651,-118.939287030657,-20.6883299964919,1.54999999999994,4.79999999999947,4.24999999999986,-96.6697594608358,-22.7200449826088,4.73328552014732,-82.5906498359055,4.01895,4.01735,80386,"2026_04_28_0002","2026_04_28_0002_ev00036_rec0","no",404490
37,0,4.16965,-97.8898028170277,-207.402391113636,-109.512588296609,2.34999999999985,8.00000000000001,8.04999999999989,-93.5848145060182,-127.640401724138,7.70119909780315,-1049.90024208113,4.16905,4.1664,83393,"2026_04_28_0002","2026_04_28_0002_ev00037_rec0","no",404491
38,0,4.21585,-100.586439226354,-113.466752792579,-12.8803135662254,0.449999999999839,10.5500000000003,9.45000000000018,-97.0414759191229,-28.0476125086199,7.76740597085093,-148.421828617611,4.21365,4.21305,84317,"2026_04_28_0002","2026_04_28_0002_ev00038_rec0","no",404492
39,0,4.2632,-103.069632277718,-107.923904217816,-4.8542719400979,0.499999999999723,0.349999999999184,0.399999999999956,-97.8325235046254,-7.91090659146387,3.1964104939236,131.418678844739,4.2632,4.2627,85264,"2026_04_28_0002","2026_04_28_0002_ev00039_rec0","no",404493
40,0,4.46805,-100.477485469192,-139.423283956046,-38.9457984868538,2.85000000000046,7.7499999999997,6.69999999999948,-104.95034495533,-44.2450323340714,4.48273623880711,-435.528962848646,4.4673,4.46435,89361,"2026_04_28_0002","2026_04_28_0002_ev00040_rec0","no",404494
41,0,4.8283,-96.8043140084216,-124.481656712093,-27.6773427036715,0.750000000000028,5.14999999999954,6.09999999999999,-99.1419678914273,-23.1364392953265,5.69492395087282,-223.07961022501,4.82785,4.82705,96566,"2026_04_28_0002","2026_04_28_0002_ev00041_rec0","no",404495
42,0,4.9331,-104.869031164987,-150.586755851811,-45.7177246868234,3.24999999999953,6.19999999999976,8.19999999999954,-81.2913068925445,-57.9370984905565,22.8352777852453,-330.230241777073,4.93285,4.9295,98662,"2026_04_28_0002","2026_04_28_0002_ev00042_rec0","no",404496
43,0,5.0192,-104.391831168301,-125.337073543894,-20.9452423755937,0.899999999999679,0.14999999999965,0.549999999999606,-98.6355401110481,-16.9528256399888,2.39674963618667,124.161946350843,5.0192,5.0178,100384,"2026_04_28_0002","2026_04_28_0002_ev00043_rec0","no",404497
44,0,5.37885,-97.7802491723102,-119.975375451455,-22.1951262791443,0.0999999999997669,0.100000000000655,0,3223.31063789479,-3320.48903455883,101455.317866079,31.3368117718306,5.3788,5.3787,107577,"2026_04_28_0002","2026_04_28_0002_ev00044_rec0","no",404498
45,0,5.4994,-98.4365244320759,-142.919211954535,-44.4826875224589,1.44999999999929,2.99999999999923,3.49999999999984,-108.37728755838,-31.5776581393494,2.21987258288493,-409.538055374391,5.49925,5.4977,109988,"2026_04_28_0002","2026_04_28_0002_ev00045_rec0","no",404499
46,0,5.8499,-100.964503103844,-110.181608486957,-9.21710538311284,0.399999999999956,0.399999999999956,0,-95.6007565172686,-8.07782607631228,2.97405025682067,136.096807670812,5.8498,5.8494,116998,"2026_04_28_0002","2026_04_28_0002_ev00046_rec0","no",404500
47,0,6.01365,-98.0957540830156,-108.34229467696,-10.2465405939446,2.2000000000002,2.25000000000009,1.75000000000036,-96.5402043897177,-8.69531114112291,3.56444455322926,0.87424684892013,6.0128,6.0102,120273,"2026_04_28_0002","2026_04_28_0002_ev00047_rec0","no",404501
48,0,6.06085,-96.116016425307,-115.076697967008,-18.9606815417009,1.19999999999987,9.59999999999983,10.1500000000003,-95.3265557889045,-24.252130761415,8.97036128230578,-236.188425822477,6.05925,6.057,121217,"2026_04_28_0002","2026_04_28_0002_ev00048_rec0","no",404502
49,0,6.6786,-103.030522910716,-146.139728172713,-43.1092052619965,6.09999999999999,8.3000000000002,4.29999999999975,-97.0098734715978,-47.038779832671,5.6491628876478,-230.635547585485,6.6781,6.6714,133572,"2026_04_28_0002","2026_04_28_0002_ev00049_rec0","no",404503
50,0,6.8579,-94.2682474726908,-102.986218231026,-8.71797075833501,0.0999999999997669,2.95000000000023,4.05000000000033,-94.886026562158,-8.34237341091848,3.49775548164682,-53.7054743297106,6.8573,6.85715,137158,"2026_04_28_0002","2026_04_28_0002_ev00050_rec0","no",404504
51,0,6.95595,-94.1992199867987,-107.473029972474,-13.2738099856749,0.849999999999795,9.45000000000018,9.6999999999996,-94.9939543231502,-18.2916944820058,6.49982258078275,-180.07604822072,6.9541,6.9526,139119,"2026_04_28_0002","2026_04_28_0002_ev00051_rec0","no",404505
52,0,7.14135,-95.2248523246257,-130.009579121868,-34.7847267972419,2.29999999999997,7.30000000000075,5.60000000000027,-94.5517785312954,-36.170557642484,5.68327568458768,-280.848310383427,7.14025,7.13795,142827,"2026_04_28_0002","2026_04_28_0002_ev00052_rec0","no",404506
53,0,7.29425,-87.590093472081,-102.274707750712,-14.6846142786306,0.0999999999997669,30.7500000000003,30.0000000000002,-97.1667505113354,-7.13866673412988,4.28671701441781,-346.128970084074,7.29265,7.29255,145885,"2026_04_28_0002","2026_04_28_0002_ev00053_rec0","no",404507
54,0,7.4258,-103.669520308731,-127.661503978219,-23.9919836694886,0.350000000000072,6.30000000000042,7.04999999999956,-93.3975549098622,-36.3299311218856,10.9847020721186,-99.0199096815726,7.4246,7.4238,148516,"2026_04_28_0002","2026_04_28_0002_ev00054_rec0","no",404508
55,0,7.58675,-104.427299167633,-113.151173357057,-8.72387418942418,0.150000000000539,30.4000000000002,30.0000000000002,-17997.8205957876,17899.9792157074,262857.15631368,167.458334142637,7.58675,7.58585,151735,"2026_04_28_0002","2026_04_28_0002_ev00055_rec0","no",404509
56,0,7.6359,-94.3191932470246,-98.6065036142075,-4.28731036718288,0.600000000000378,5.94999999999946,0,-9363.74131006723,9267.70084908192,128321.761255541,-88.6002702401148,7.6359,7.6353,152718,"2026_04_28_0002","2026_04_28_0002_ev00056_rec0","no",404510
57,0,7.65735,-94.7798833953994,-104.077793901513,-9.29791050611362,0.14999999999965,4.39999999999952,6.00000000000023,-95.9382716759816,-9.82657285623011,4.12154831679735,-80.9814817295656,7.657,7.6568,153147,"2026_04_28_0002","2026_04_28_0002_ev00057_rec0","no",404511
