"matched_baseline_rows","file","start_sample","time_noise","return_sample","sweep","Event_Time","Record","event_time","baseline_current","peak_current","amplitude","event_id","noise","event_index","file_prefix","baseline_time","event_entry_number","corrected_baseline_index","corrected_baseline_time","corrected_baseline_pA","corrected_amplitude_pA"
"[{'Event.Number': '525', 'Record': '1', 'Event.Time..s.': '35.3369', 'Baseline..pA.': '-245.099728902181', 'Peak..pA.': '86.0595626831055', 'Amplitude..pA.': '331.159291585286', 'Rise.Time..ms.': '0.300000000002854', 'Half.Width..ms.': '45.5499999999986', 'Decay.Time..ms.': '29.9499999999995', 'Decay.Fit.b0': '76.99971986456', 'Decay.Fit.b1': '6.45361204540853', 'Decay.Fit.Tau..ms.': '0.96327090432096', 'AUC..pA.ms.': '14724.242152071', 'rise_max_time': '35.3215', 'baseline_time': '35.3212', 'event_index': '206738', 'file_prefix': '2023_02_08_0027', 'event_id': '2023_02_08_0027_ev00525_rec1', 'noise': 'no', 'event_entry_number': '525', 'corrected_baseline_index': 206436, 'corrected_baseline_time': np.float64(35.321799999999996), 'corrected_baseline_pA': np.float64(63.476558685302734), 'corrected_amplitude_pA': np.float64(22.583003997802763)}]","2023_02_08_0027.abf",206419,"[np.float64(35.320949999999996), np.float64(35.321), np.float64(35.32105), np.float64(35.3211), np.float64(35.321149999999996), np.float64(35.3212), np.float64(35.32125), np.float64(35.321299999999994)]",206426,1,"525","1","35.3369","-245.099728902181","86.0595626831055","331.159291585286","2023_02_08_0027_ev00525_rec1","no","206738","2023_02_08_0027","35.3212","525","206436","35.321799999999996","63.476558685302734","22.583003997802763"
"[{'Event.Number': '530', 'Record': '1', 'Event.Time..s.': '35.6092', 'Baseline..pA.': '27.8145943142119', 'Peak..pA.': '84.8388595581055', 'Amplitude..pA.': '57.0242652438936', 'Rise.Time..ms.': '2.0500000000041', 'Half.Width..ms.': '53.9500000000004', 'Decay.Time..ms.': '29.999999999994', 'Decay.Fit.b0': '78.5606517785126', 'Decay.Fit.b1': '6.20002690613285', 'Decay.Fit.Tau..ms.': '7.42483071270453', 'AUC..pA.ms.': '2848.05919907774', 'rise_max_time': '35.5873', 'baseline_time': '35.58525', 'event_index': '212184', 'file_prefix': '2023_02_08_0027', 'event_id': '2023_02_08_0027_ev00530_rec1', 'noise': 'no', 'event_entry_number': '530', 'corrected_baseline_index': 211716, 'corrected_baseline_time': np.float64(35.5858), 'corrected_baseline_pA': np.float64(75.68359375), 'corrected_amplitude_pA': np.float64(9.155265808105497)}]","2023_02_08_0027.abf",211700,"[np.float64(35.584999999999994), np.float64(35.585049999999995), np.float64(35.5851), np.float64(35.58515), np.float64(35.5852), np.float64(35.585249999999995), np.float64(35.5853)]",211706,1,"530","1","35.6092","27.8145943142119","84.8388595581055","57.0242652438936","2023_02_08_0027_ev00530_rec1","no","212184","2023_02_08_0027","35.58525","530","211716","35.5858","75.68359375","9.155265808105497"
"[{'Event.Number': '902', 'Record': '2', 'Event.Time..s.': '60.47765', 'Baseline..pA.': '-322.410936446417', 'Peak..pA.': '86.0595626831055', 'Amplitude..pA.': '408.470499129522', 'Rise.Time..ms.': '0.249999999994088', 'Half.Width..ms.': '35.3999999999957', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '84.2769284026751', 'Decay.Fit.b1': '5.57567640648371', 'Decay.Fit.Tau..ms.': '2.84454520602167', 'AUC..pA.ms.': '14375.9134711447', 'rise_max_time': '60.4725', 'baseline_time': '60.47225', 'event_index': '209553', 'file_prefix': '2023_02_08_0029', 'event_id': '2023_02_08_0029_ev00902_rec2', 'noise': 'no', 'event_entry_number': '3897', 'corrected_baseline_index': 209455, 'corrected_baseline_time': np.float64(60.47275), 'corrected_baseline_pA': np.float64(57.373043060302734), 'corrected_amplitude_pA': np.float64(28.686519622802763)}]","2023_02_08_0029.abf",209440,"[np.float64(60.472), np.float64(60.472049999999996), np.float64(60.4721), np.float64(60.47215), np.float64(60.4722), np.float64(60.47225)]",209445,2,"902","2","60.47765","-322.410936446417","86.0595626831055","408.470499129522","2023_02_08_0029_ev00902_rec2","no","209553","2023_02_08_0029","60.47225","3897","209455","60.47275","57.373043060302734","28.686519622802763"
"[{'Event.Number': '107', 'Record': '0', 'Event.Time..s.': '10.76365', 'Baseline..pA.': '-4.35965442657471', 'Peak..pA.': '108.032218933105', 'Amplitude..pA.': '112.39187335968', 'Rise.Time..ms.': '0.750000000000028', 'Half.Width..ms.': '48.0499999999999', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '92.8849021214925', 'Decay.Fit.b1': '16.6990195466066', 'Decay.Fit.Tau..ms.': '53.3574882502273', 'AUC..pA.ms.': '5262.81267869472', 'rise_max_time': '10.7463', 'baseline_time': '10.74555', 'event_index': '215273', 'file_prefix': '2023_02_28_0009', 'event_id': '2023_02_28_0009_ev00107_rec0', 'noise': 'no', 'event_entry_number': '5137', 'corrected_baseline_index': 214922, 'corrected_baseline_time': np.float64(10.746099999999998), 'corrected_baseline_pA': np.float64(98.26659393310547), 'corrected_amplitude_pA': np.float64(9.765624999999531)}]","2023_02_28_0009.abf",214906,"[np.float64(10.745299999999999), np.float64(10.745349999999998), np.float64(10.745399999999998), np.float64(10.74545), np.float64(10.7455), np.float64(10.74555), np.float64(10.7456)]",214912,0,"107","0","10.76365","-4.35965442657471","108.032218933105","112.39187335968","2023_02_28_0009_ev00107_rec0","no","215273","2023_02_28_0009","10.74555","5137","214922","10.746099999999998","98.26659393310547","9.765624999999531"
"[{'Event.Number': '27', 'Record': '0', 'Event.Time..s.': '2.48725', 'Baseline..pA.': '10.6009289518021', 'Peak..pA.': '121.176404733346', 'Amplitude..pA.': '110.575475781544', 'Rise.Time..ms.': '7.49999999999984', 'Half.Width..ms.': '20.3500000000001', 'Decay.Time..ms.': '0', 'Decay.Fit.b0': '90035.2105955899', 'Decay.Fit.b1': '-89924.4310658479', 'Decay.Fit.Tau..ms.': '741377.499901882', 'AUC..pA.ms.': '5076.52746840151', 'rise_max_time': '2.4744', 'baseline_time': '2.4669', 'event_index': '49745', 'file_prefix': '2023_02_28_0010', 'event_id': '2023_02_28_0010_ev00027_rec0', 'noise': 'no', 'event_entry_number': '6049', 'corrected_baseline_index': 49348, 'corrected_baseline_time': np.float64(2.4673999999999996), 'corrected_baseline_pA': np.float64(98.26659393310547), 'corrected_amplitude_pA': np.float64(22.909810800240535)}]","2023_02_28_0010.abf",49330,"[np.float64(2.4665), np.float64(2.46655), np.float64(2.4665999999999997), np.float64(2.4666499999999996), np.float64(2.4667), np.float64(2.4667499999999998), np.float64(2.4667999999999997), np.float64(2.46685), np.float64(2.4669)]",49338,0,"27","0","2.48725","10.6009289518021","121.176404733346","110.575475781544","2023_02_28_0010_ev00027_rec0","no","49745","2023_02_28_0010","2.4669","6049","49348","2.4673999999999996","98.26659393310547","22.909810800240535"
"[{'Event.Number': '124', 'Record': '0', 'Event.Time..s.': '10.47825', 'Baseline..pA.': '-350.370844489052', 'Peak..pA.': '115.966789245605', 'Amplitude..pA.': '466.337633734658', 'Rise.Time..ms.': '0.849999999999795', 'Half.Width..ms.': '41.1999999999999', 'Decay.Time..ms.': '29.9999999999994', 'Decay.Fit.b0': '108.582134864909', 'Decay.Fit.b1': '6.62621158253689', 'Decay.Fit.Tau..ms.': '3.62121486620736', 'AUC..pA.ms.': '18858.6495741472', 'rise_max_time': '10.46785', 'baseline_time': '10.467', 'event_index': '209565', 'file_prefix': '2023_02_28_0010', 'event_id': '2023_02_28_0010_ev00124_rec0', 'noise': 'no', 'event_entry_number': '6146', 'corrected_baseline_index': 209351, 'corrected_baseline_time': np.float64(10.46755), 'corrected_baseline_pA': np.float64(56.762691497802734), 'corrected_amplitude_pA': np.float64(59.204097747802265)}]","2023_02_28_0010.abf",209335,"[np.float64(10.46675), np.float64(10.4668), np.float64(10.466849999999999), np.float64(10.466899999999999), np.float64(10.466949999999999), np.float64(10.466999999999999), np.float64(10.467049999999999)]",209341,0,"124","0","10.47825","-350.370844489052","115.966789245605","466.337633734658","2023_02_28_0010_ev00124_rec0","no","209565","2023_02_28_0010","10.467","6146","209351","10.46755","56.762691497802734","59.204097747802265"
"[{'Event.Number': '385', 'Record': '1', 'Event.Time..s.': '35.31745', 'Baseline..pA.': '61.2676665896461', 'Peak..pA.': '115.356437683105', 'Amplitude..pA.': '54.0887710934594', 'Rise.Time..ms.': '0.700000000001921', 'Half.Width..ms.': '30.7999999999993', 'Decay.Time..ms.': '24.0000000000009', 'Decay.Fit.b0': '-261161.672979445', 'Decay.Fit.b1': '261281.346258484', 'Decay.Fit.Tau..ms.': '163377.824161221', 'AUC..pA.ms.': '1570.80940926416', 'rise_max_time': '35.30695', 'baseline_time': '35.30625', 'event_index': '206349', 'file_prefix': '2023_02_28_0010', 'event_id': '2023_02_28_0010_ev00385_rec1', 'noise': 'no', 'event_entry_number': '6407', 'corrected_baseline_index': 206136, 'corrected_baseline_time': np.float64(35.306799999999996), 'corrected_baseline_pA': np.float64(108.64257049560547), 'corrected_amplitude_pA': np.float64(6.713867187499531)}]","2023_02_28_0010.abf",206119,"[np.float64(35.305949999999996), np.float64(35.306), np.float64(35.30605), np.float64(35.3061), np.float64(35.306149999999995), np.float64(35.3062), np.float64(35.30625), np.float64(35.30629999999999)]",206126,1,"385","1","35.31745","61.2676665896461","115.356437683105","54.0887710934594","2023_02_28_0010_ev00385_rec1","no","206349","2023_02_28_0010","35.30625","6407","206136","35.306799999999996","108.64257049560547","6.713867187499531"
"[{'Event.Number': '646', 'Record': '2', 'Event.Time..s.': '60.15185', 'Baseline..pA.': '42.9861850738525', 'Peak..pA.': '109.863273620605', 'Amplitude..pA.': '66.8770885467529', 'Rise.Time..ms.': '1.59999999999627', 'Half.Width..ms.': '42.2999999999973', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '23.7833473478524', 'Decay.Fit.b1': '84.9419472457097', 'Decay.Fit.Tau..ms.': '85.0213759998209', 'AUC..pA.ms.': '2295.6584883213', 'rise_max_time': '60.14115', 'baseline_time': '60.13955', 'event_index': '203037', 'file_prefix': '2023_02_28_0010', 'event_id': '2023_02_28_0010_ev00646_rec2', 'noise': 'no', 'event_entry_number': '6668', 'corrected_baseline_index': 202802, 'corrected_baseline_time': np.float64(60.1401), 'corrected_baseline_pA': np.float64(100.70800018310547), 'corrected_amplitude_pA': np.float64(9.155273437499531)}]","2023_02_28_0010.abf",202785,"[np.float64(60.13925), np.float64(60.1393), np.float64(60.13935), np.float64(60.139399999999995), np.float64(60.13945), np.float64(60.1395), np.float64(60.13955), np.float64(60.1396)]",202792,2,"646","2","60.15185","42.9861850738525","109.863273620605","66.8770885467529","2023_02_28_0010_ev00646_rec2","no","203037","2023_02_28_0010","60.13955","6668","202802","60.1401","100.70800018310547","9.155273437499531"
"[{'Event.Number': '1010', 'Record': '2', 'Event.Time..s.': '60.3876', 'Baseline..pA.': '-111.912320977166', 'Peak..pA.': '133.819580078125', 'Amplitude..pA.': '245.731901055291', 'Rise.Time..ms.': '0.499999999995282', 'Half.Width..ms.': '56.1999999999969', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '132.388787900537', 'Decay.Fit.b1': '1.40552329057419', 'Decay.Fit.Tau..ms.': '1.27070823704266', 'AUC..pA.ms.': '13624.4583566308', 'rise_max_time': '60.3619', 'baseline_time': '60.3614', 'event_index': '207752', 'file_prefix': '2023_08_23_0004', 'event_id': '2023_08_23_0004_ev01010_rec2', 'noise': 'no', 'event_entry_number': '27873', 'corrected_baseline_index': 207239, 'corrected_baseline_time': np.float64(60.36195), 'corrected_baseline_pA': np.float64(118.25560760498047), 'corrected_amplitude_pA': np.float64(15.563972473144531)}]","2023_08_23_0004.abf",207222,"[np.float64(60.3611), np.float64(60.361149999999995), np.float64(60.3612), np.float64(60.36125), np.float64(60.3613), np.float64(60.36135), np.float64(60.3614), np.float64(60.36145)]",207229,2,"1010","2","60.3876","-111.912320977166","133.819580078125","245.731901055291","2023_08_23_0004_ev01010_rec2","no","207752","2023_08_23_0004","60.3614","27873","207239","60.36195","118.25560760498047","15.563972473144531"
"[{'Event.Number': '129', 'Record': '0', 'Event.Time..s.': '9.75925', 'Baseline..pA.': '86.9380351772572', 'Peak..pA.': '-45.3902516658384', 'Amplitude..pA.': '-132.328286843096', 'Rise.Time..ms.': '0.250000000001194', 'Half.Width..ms.': '56.9000000000006', 'Decay.Time..ms.': '29.9999999999994', 'Decay.Fit.b0': '13331.4004339631', 'Decay.Fit.b1': '-13373.3942510548', 'Decay.Fit.Tau..ms.': '684243.696932555', 'AUC..pA.ms.': '-7325.40875192484', 'rise_max_time': '9.73255', 'baseline_time': '9.7323', 'event_index': '195185', 'file_prefix': '2023_08_23_0033', 'event_id': '2023_08_23_0033_ev00129_rec0', 'noise': 'no', 'event_entry_number': '33133', 'corrected_baseline_index': 194657, 'corrected_baseline_time': np.float64(9.73285), 'corrected_baseline_pA': np.float64(-38.14697265625), 'corrected_amplitude_pA': np.float64(-7.243279009588399)}]","2023_08_23_0033.abf",194641,"[np.float64(9.73205), np.float64(9.732099999999999), np.float64(9.732149999999999), np.float64(9.732199999999999), np.float64(9.732249999999999), np.float64(9.732299999999999), np.float64(9.732349999999999)]",194647,0,"129","0","9.75925","86.9380351772572","-45.3902516658384","-132.328286843096","2023_08_23_0033_ev00129_rec0","no","195185","2023_08_23_0033","9.7323","33133","194657","9.73285","-38.14697265625","-7.243279009588399"
