Amplitude..pA.,Decay.Fit.b1,corrected_peak_amp_pA,event_index,corrected_peak_pA,corrected_peak_index,AUC..pA.ms.,Baseline..pA.,Rise.Time..ms.,noise,Decay.Time..ms.,event_id,corrected_peak_time,event_entry_number,Event.Time..s.,Decay.Fit.b0,rise_max_time,Half.Width..ms.,Event.Number,baseline_time,file_prefix,Record,Decay.Fit.Tau..ms.,Peak..pA.
-30.0650821116224,-21.1388680512878,,1113,,,-291.518956124946,-55.4615181319848,0.350000000000003,no,6.3,2024_08_27_0005_ev00001_rec0,,202321,0.05565,-60.5755614586287,0.0544,4.34999999999999,1,0.05365,2024_08_27_0005,0,5.0073639363901,-85.5266002436073
-11.5649167155679,-7.37466058682678,,1701,,,95.0195149918202,-59.6254345473114,0.100000000000017,no,0,2024_08_27_0005_ev00002_rec0,,202322,0.08505,-55.1943094109126,0.08485,0.25,2,0.08475,2024_08_27_0005,0,4.8874593496903,-71.1903512628794
-19.5715356736535,-16.8456849035414,,3088,,,-22.3824958160101,-59.0091922815397,1.15000000000001,no,3.20000000000001,2024_08_27_0005_ev00003_rec0,,202323,0.1544,-54.5817372512571,0.15425,2.14999999999999,3,0.1528,2024_08_27_0005,0,8.76280621895109,-78.5807279551932
-6.02901436302616,-6.66114579438065,,3699,,,48.3703674113923,-55.2954112799601,0.299999999999995,no,1.10000000000002,2024_08_27_0005_ev00004_rec0,,202324,0.18495,-52.9794882580259,0.18495,0.84999999999999,4,0.18465,2024_08_27_0005,0,2.90429522908741,-61.3244256429863
-14.8646907664827,-9.23670527229138,,8760,,,-149.345582433399,-54.5976527794296,0.0499999999999945,no,6.80000000000003,2024_08_27_0005_ev00005_rec0,,202325,0.438,-58.0673307086071,0.43775,3.95000000000001,5,0.4377,2024_08_27_0005,0,4.47957978251435,-69.4623435459123
-4.70928389392578,-11.0390168353953,,9293,,,94.2337091665362,-59.8995603752141,0.100000000000044,no,2.09999999999999,2024_08_27_0005_ev00006_rec0,,202326,0.46465,-52.149587860967,0.4644,1.65000000000004,6,0.4642,2024_08_27_0005,0,13.8794721804015,-64.6088442691399
-10.4430932632131,-16.6382479316816,,11157,,,5.29743513795479,-59.1451498400047,0.900000000000012,no,4.65000000000004,2024_08_27_0005_ev00007_rec0,,202327,0.55785,-54.6480333184617,0.5567,5.35000000000008,7,0.5557,2024_08_27_0005,0,6.7623417311354,-69.5882431032178
-28.5340913396614,-15.7303700866025,,15474,,,-307.178489589791,-50.9052392634845,2.75000000000003,no,5.54999999999994,2024_08_27_0005_ev00008_rec0,,202328,0.7737,-57.3666581417654,0.7734,5,8,0.7704,2024_08_27_0005,0,4.11700254759612,-79.4393306031459
-11.7811644081143,-10.0744769953226,,16487,,,44.7758882887898,-53.9626002673871,0.099999999999989,no,0,2024_08_27_0005_ev00009_rec0,,202329,0.82435,-47.6798933905418,0.82435,0.199999999999978,9,0.82415,2024_08_27_0005,0,17.0575568531726,-65.7437646755014
-28.0713350221021,-24.4095854754539,,18086,,,-299.066912841307,-49.255658800527,2.24999999999997,no,8.85000000000002,2024_08_27_0005_ev00010_rec0,,202330,0.9043,-50.9302554397069,0.90415,6.39999999999996,10,0.90165,2024_08_27_0005,0,8.57996787871033,-77.3269938226291
-3.52562943895327,-3.56143842771413,,19284,,,34.3237698051036,-58.5991751757701,0.250000000000083,no,0.44999999999995,2024_08_27_0005_ev00011_rec0,,202331,0.9642,-57.203213304508,0.9642,0.450000000000061,11,0.96395,2024_08_27_0005,0,1.55328560116667,-62.1248046147233
-8.45461163475,-7.06127670336805,,20270,,,87.7972889062672,-57.4141207832466,0.0500000000001055,no,0,2024_08_27_0005_ev00012_rec0,,202332,1.0135,-49.5266411105425,1.01325,0.0499999999998835,12,1.0132,2024_08_27_0005,0,38.062200327735,-65.8687324179966
-9.02175157477854,-9.38515708533188,,22030,,,-99.1339609639305,-51.2533772378878,0.199999999999978,no,5.19999999999987,2024_08_27_0005_ev00013_rec0,,202333,1.1015,-52.9161974229751,1.101,5.1000000000001,13,1.0992,2024_08_27_0005,0,3.0235899853866,-60.2751288126663
-41.6096755010648,-32.2277001557335,,23468,,,-491.90179983723,-56.2758286858283,2.95000000000001,no,10.1,2024_08_27_0005_ev00014_rec0,,202334,1.1734,-58.5361856668036,1.17335,8.40000000000019,14,1.17025,2024_08_27_0005,0,11.2389492839086,-97.8855041868931
-5.28707077987071,4236.62795880976,,25331,,,36.4511899446148,-55.221848500145,0.149999999999872,no,30,2024_08_27_0005_ev00015_rec0,,202335,1.26655,-4289.90064674683,1.26655,30,15,1.2664,2024_08_27_0005,0,90371.8345652601,-60.5089192800157
-12.1903292667963,-15.0472728178528,,30976,,,-36.552816602452,-59.2961388160227,0.650000000000039,no,3.05,2024_08_27_0005_ev00016_rec0,,202336,1.5488,-58.1599973046501,1.54765,3.80000000000003,16,1.5469,2024_08_27_0005,0,3.11557949425824,-71.486468082819
-8.04333789422134,-4.46107732320236,,31460,,,122.151284992136,-60.9032380207444,0.250000000000083,no,0,2024_08_27_0005_ev00017_rec0,,202337,1.573,-55.732603862761,1.57295,0.150000000000095,17,1.5726,2024_08_27_0005,0,6.98885996997477,-68.9465759149657
-20.2897679999189,-17.859799683208,,32916,,,-77.1067051576195,-57.3336426112265,1.14999999999998,no,4.29999999999997,2024_08_27_0005_ev00018_rec0,,202338,1.6458,-54.9082493014625,1.6457,3.1000000000001,18,1.64435,2024_08_27_0005,0,7.33366111682932,-77.6234106111454
-17.739568873678,-13.6528022473107,,37666,,,-97.0384121226317,-59.2492108655471,5.54999999999994,no,2.40000000000018,2024_08_27_0005_ev00019_rec0,,202339,1.8833,-57.925109540222,1.88155,4.55000000000005,19,1.87595,2024_08_27_0005,0,4.36605558592476,-76.9887797392251
