corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_01_14_0036_ev00001_rec0,0,-165.881664648508,,-140.335110642399,0.02835,276824,0.0285,2026_01_14_0036,1,,,6.14510311092095,570,0.0252,3,no,-29.8191873937821,6.9,-22.017859235355,-327.36349389306,7.25,-136.062477254726
,2026_01_14_0036_ev00002_rec0,0,-149.889453100928,,-134.049303611757,0.2447,276825,0.24745,2026_01_14_0036,2,,,10.2710880525962,4949,0.24155,3.14999999999999,no,-13.9616558215269,10.6,-16.0944765424545,-161.15131255601,8.49999999999998,-135.927797279401
,2026_01_14_0036_ev00003_rec0,0,-145.465729392139,,-22851.2484987812,0.39425,276826,0.39425,2026_01_14_0036,3,,,145969.765631939,7885,0.39395,0.100000000000044,no,-4.51035013639077,30.05,22714.909496375,68.1837138726061,30,-140.955379255748
,2026_01_14_0036_ev00004_rec0,0,-148.038148058622,,-50627.2579923576,0.4131,276827,0.41315,2026_01_14_0036,4,,,425880.528807805,8263,0.41275,0.300000000000022,no,-6.18495022591298,30.25,50487.5850094666,10.7831655424879,30,-141.853197832709
,2026_01_14_0036_ev00005_rec0,0,-148.156221088945,,-138.316961721519,0.43755,276828,0.43805,2026_01_14_0036,5,,,4.46119000576515,8761,0.43485,2.5,no,-7.10734995176966,4.09999999999999,-9.55080458742337,22.7867494478539,2.60000000000005,-141.048871137175
,2026_01_14_0036_ev00006_rec0,0,-147.130048402461,,-135.736659143753,0.4691,276829,0.4691,2026_01_14_0036,6,,,4.51524107729779,9382,0.46885,0.250000000000028,no,-8.13157471726788,0.0499999999999945,-5.63945984518356,71.6765165031543,0,-138.998473685194
,2026_01_14_0036_ev00007_rec0,0,-150.737501185672,,-141.908373598163,0.5263,276830,0.52715,2026_01_14_0036,7,,,3.81370075955625,10543,0.52535,0.900000000000012,no,-15.378431710482,10.6499999999999,-12.2763944545599,-263.847044141998,29.9999999999999,-135.35906947519
,2026_01_14_0036_ev00008_rec0,0,-163.365130544089,,-138.922130300252,0.56215,276831,0.5646,2026_01_14_0036,8,,,9.44538268156372,11292,0.5605,1.54999999999994,no,-20.3649270438689,9.00000000000001,-25.7829774319361,-169.389153054619,7.54999999999995,-143.000203500221
,2026_01_14_0036_ev00009_rec0,0,-151.930521951395,,-140.811017911801,0.5959,276832,0.59635,2026_01_14_0036,9,,,5.98864024352931,11927,0.59285,3,no,-13.3467775542578,8.69999999999993,-12.4660102244997,-177.891174542367,9.14999999999999,-138.583744397137
,2026_01_14_0036_ev00010_rec0,0,-146.298585892575,,-136.254652611387,0.62435,276833,0.62525,2026_01_14_0036,10,,,13.6764191220647,12505,0.62415,0.199999999999978,no,-5.48406791187631,2.59999999999994,-8.30451293173565,31.9079963447288,3.14999999999999,-140.814517980699
,2026_01_14_0036_ev00011_rec0,0,-177.964930439886,,-137.965941996677,0.7131,276834,0.71455,2026_01_14_0036,11,,,7.52086641417824,14291,0.71205,0.900000000000012,no,-30.5002449241462,6.30000000000008,-44.2658592738896,-101.50122133263,5.70000000000004,-147.46468551574
,2026_01_14_0036_ev00012_rec0,0,-141.917923399459,,-138.509928491062,0.7926,276835,0.79615,2026_01_14_0036,12,,,4.88080088229425,15923,0.7911,1.50000000000006,no,-5.64280321831012,15.35,-6.95333217498467,-132.652084556014,30,-136.275120181149
