Event Number,Record,Event Time (s),Baseline (pA),Peak (pA),Amplitude (pA),Rise Time (ms),Half-Width (ms),Decay Time (ms),Decay Fit b0,Decay Fit b1,Decay Fit Tau (ms),AUC (pA ms),rise_max_time,baseline_time,event_index,file_prefix,event_id,noise_type,
275,3,86.45205,-293.4628441,-1061.401367,-767.9385231,0.3999999999990677,8.749999999992042,11.399999999994748,3003.0098489338184,-3959.941084,113.10338160344833,-5837.549655,86.45175,86.4503,229041,2024_08_27_0022,2024_08_27_0022_ev00275_rec3,1,
285,3,87.0582,-286.1676897,-957.6415405,-671.4738508,0.7499999999964757,12.100000000003774,14.49999999999818,18036463.93,-18037420.99,618223.7776422121,-7444.225788,87.05785,87.05635,241164,2024_08_27_0022,2024_08_27_0022_ev00285_rec3,1,
197,1,47.63655,-256.9592601,-972.2687049,-715.3094448,0.4000000000061732,9.250000000001537,11.74999999999926,2440.302611438795,-3344.649882,96.75595992600572,-5802.666489,47.6362,47.6326,452731,2024_08_27_0023,2024_08_27_0023_ev00197_rec1,1,
236,0,10.8644,-745.6751622,-3668.517822,-2922.84266,0.8999999999996788,6.999999999999673,9.349999999999524,-532.8584197,-2978.839268,11.193460019310155,-26761.65048,10.86405,10.861249999999998,217288,2026_01_13_0012,2026_01_13_0012_ev00236_rec0,1,
809,1,35.583299999999994,-888.4102347,-3336.181396,-2447.771162,1.100000000000989,7.3,9.15,-481.8319789,-2942.164457,11.336142309904089,-20595.92388,35.58295,35.580549999999995,211666,2026_01_13_0012,2026_01_13_0012_ev00809_rec1,1,
811,1,35.82984999999999,-738.7142479,-3567.504639,-2828.790391,0.7000000000019213,12.150000000005434,15.250000000001762,35953191.35061332,-35956562.96,345112.039,-33668.13438,35.82955,35.82795,216597,2026_01_20_0016,2026_01_20_0016_ev00811_rec1,1,
1356,2,60.8413,-466.2359052,-3027.03833,-2560.802425,3.2500000000013074,15.900000000002024,19.44999999999908,47082168.97014502,-47085136.95,589171.3912588789,-42107.64732,60.84095,60.8353,216826,2026_01_20_0016,2026_01_20_0016_ev01356_rec2,1,
7,0,0.14045,-146.450902,-3643.864403,-3497.413501,4.399999999999987,17.699999999999992,20.85000000000001,95749169.35321158,-95753019.79,827478.8786335273,-66235.99898,0.1399999999999999,0.1340499999999999,2809,2026_04_28_0024,2026_04_28_0024_ev00007_rec0,1,
572,1,36.1002,-320.463623,-4698.486328,-4378.022705,1.8000000000029104,15.849999999993258,18.84999999999337,71270974.15129283,-71275673.94,487410.4950818505,-70379.49709,36.0997,36.0971,222004,2026_06_04_0001,2026_06_04_0001_ev00572_rec1,1,
1089,2,60.93005,-1071.661086,-4284.667969,-3213.006882,2.949999999998454,18.94999999999669,21.650000000001057,58673685.84218156,-58678167.61,571840.3112184021,-62030.93851,60.9293,60.9238,218601,2026_06_04_0002,2026_06_04_0002_ev01089_rec2,1,
114,0,10.5333,-412.2197891,-3779.296631,-3367.076842,0.8999999999996788,9.9,13.099999999999667,3350.082416,-6773.35486,43.377359129441245,-35886.53344,10.533,10.53105,210666,2026_06_04_0083,2026_06_04_0083_ev00114_rec0,1,
