time_noise,start_sample,matched_peak_rows,file,return_sample,sweep
"[np.float64(2.49925), np.float64(2.4993), np.float64(2.4993499999999997), np.float64(2.4993999999999996), np.float64(2.49945), np.float64(2.4995)]",49985,[],2023_02_08_0027.abf,49990,0
"[np.float64(2.4995999999999996), np.float64(2.49965), np.float64(2.4997), np.float64(2.4997499999999997), np.float64(2.4997999999999996), np.float64(2.49985)]",49992,[],2023_02_08_0027.abf,49997,0
"[np.float64(35.320949999999996), np.float64(35.321), np.float64(35.32105), np.float64(35.3211), np.float64(35.321149999999996), np.float64(35.3212), np.float64(35.32125), np.float64(35.321299999999994)]",206419,[],2023_02_08_0027.abf,206426,1
"[np.float64(35.584999999999994), np.float64(35.585049999999995), np.float64(35.5851), np.float64(35.58515), np.float64(35.5852), np.float64(35.585249999999995), np.float64(35.5853)]",211700,[],2023_02_08_0027.abf,211706,1
"[np.float64(85.429), np.float64(85.42905)]",208580,[],2023_02_08_0027.abf,208581,3
"[np.float64(87.1585), np.float64(87.15855), np.float64(87.15859999999999), np.float64(87.15865), np.float64(87.1587)]",243170,[],2023_02_08_0027.abf,243174,3
"[np.float64(10.461649999999999), np.float64(10.461699999999999), np.float64(10.461749999999999), np.float64(10.461799999999998), np.float64(10.461849999999998), np.float64(10.461899999999998)]",209233,[],2023_02_08_0029.abf,209238,0
"[np.float64(60.472), np.float64(60.472049999999996), np.float64(60.4721), np.float64(60.47215), np.float64(60.4722), np.float64(60.47225)]",209440,[],2023_02_08_0029.abf,209445,2
"[np.float64(28.025199999999998), np.float64(28.025249999999996), np.float64(28.025299999999998), np.float64(28.025349999999996), np.float64(28.025399999999998), np.float64(28.025449999999996)]",60504,[],2023_02_28_0008.abf,60509,1
"[np.float64(3.3474999999999997), np.float64(3.3475499999999996), np.float64(3.3476), np.float64(3.34765)]",66950,[],2023_02_28_0009.abf,66953,0
"[np.float64(10.398399999999999), np.float64(10.398449999999999), np.float64(10.398499999999999), np.float64(10.398549999999998), np.float64(10.398599999999998), np.float64(10.39865), np.float64(10.3987), np.float64(10.39875), np.float64(10.3988)]",207968,[],2023_02_28_0009.abf,207976,0
"[np.float64(10.745299999999999), np.float64(10.745349999999998), np.float64(10.745399999999998), np.float64(10.74545), np.float64(10.7455), np.float64(10.74555), np.float64(10.7456)]",214906,[],2023_02_28_0009.abf,214912,0
"[np.float64(85.19754999999999), np.float64(85.1976), np.float64(85.19765), np.float64(85.1977), np.float64(85.19775)]",203951,[],2023_02_28_0009.abf,203955,3
"[np.float64(2.4665), np.float64(2.46655), np.float64(2.4665999999999997), np.float64(2.4666499999999996), np.float64(2.4667), np.float64(2.4667499999999998), np.float64(2.4667999999999997), np.float64(2.46685), np.float64(2.4669)]",49330,[],2023_02_28_0010.abf,49338,0
"[np.float64(10.46675), np.float64(10.4668), np.float64(10.466849999999999), np.float64(10.466899999999999), np.float64(10.466949999999999), np.float64(10.466999999999999), np.float64(10.467049999999999)]",209335,[],2023_02_28_0010.abf,209341,0
"[np.float64(35.305949999999996), np.float64(35.306), np.float64(35.30605), np.float64(35.3061), np.float64(35.306149999999995), np.float64(35.3062), np.float64(35.30625), np.float64(35.30629999999999)]",206119,[],2023_02_28_0010.abf,206126,1
"[np.float64(60.13925), np.float64(60.1393), np.float64(60.13935), np.float64(60.139399999999995), np.float64(60.13945), np.float64(60.1395), np.float64(60.13955), np.float64(60.1396)]",202785,[],2023_02_28_0010.abf,202792,2
"[np.float64(60.22355), np.float64(60.2236), np.float64(60.22365), np.float64(60.2237), np.float64(60.223749999999995), np.float64(60.2238), np.float64(60.22385), np.float64(60.2239)]",204471,[],2023_02_28_0011.abf,204478,2
"[np.float64(34.158449999999995), np.float64(34.1585), np.float64(34.15855), np.float64(34.15859999999999)]",183169,[],2023_02_28_0013.abf,183172,1
"[np.float64(85.33425), np.float64(85.3343), np.float64(85.33435), np.float64(85.3344), np.float64(85.33445), np.float64(85.3345), np.float64(85.33455), np.float64(85.3346), np.float64(85.33465)]",206685,"[{'Event.Number': '247', 'Record': '3', 'Event.Time..s.': '85.3344', 'Baseline..pA.': '-54.2922210693359', 'Peak..pA.': '-1908.56921386719', 'Amplitude..pA.': '-1854.27699279785', 'Rise.Time..ms.': '0.150000000004979', 'Half.Width..ms.': '0.150000000004979', 'Decay.Time..ms.': '0.10000000000332', 'Decay.Fit.b0': '-40.9915541162021', 'Decay.Fit.b1': '-1928.78202930767', 'Decay.Fit.Tau..ms.': '0.0777215746092552', 'AUC..pA.ms.': '31.7462274551393', 'rise_max_time': '85.3344', 'baseline_time': '85.3342', 'event_index': '206688', 'file_prefix': '2023_02_28_0013', 'event_id': '2023_02_28_0013_ev00247_rec3', 'noise': 'yes', 'event_entry_number': '8481', 'corrected_peak_index': 206703, 'corrected_peak_time': np.float64(85.33515), 'corrected_peak_pA': np.float64(-65.91796875), 'corrected_peak_amp_pA': np.float64(-11.625747680664098)}]",2023_02_28_0013.abf,206693,3
"[np.float64(60.319), np.float64(60.31905), np.float64(60.3191), np.float64(60.31915), np.float64(60.319199999999995)]",206380,[],2023_02_28_0014.abf,206384,2
"[np.float64(21.717049999999997), np.float64(21.7171), np.float64(21.717149999999997), np.float64(21.7172), np.float64(21.717249999999996), np.float64(21.717299999999998), np.float64(21.71735)]",434341,[],2023_08_10_0026.abf,434347,0
"[np.float64(10.44305), np.float64(10.4431), np.float64(10.44315), np.float64(10.4432), np.float64(10.443249999999999), np.float64(10.443299999999999)]",208861,[],2023_08_23_0002.abf,208866,0
"[np.float64(60.4237), np.float64(60.42375), np.float64(60.4238), np.float64(60.42385), np.float64(60.4239), np.float64(60.42395), np.float64(60.424), np.float64(60.42405), np.float64(60.424099999999996)]",208474,[],2023_08_23_0002.abf,208482,2
"[np.float64(10.367899999999999), np.float64(10.367949999999999), np.float64(10.367999999999999), np.float64(10.368049999999998), np.float64(10.368099999999998), np.float64(10.36815), np.float64(10.3682), np.float64(10.36825)]",207358,"[{'Event.Number': '146', 'Record': '0', 'Event.Time..s.': '10.368', 'Baseline..pA.': '128.878634861537', 'Peak..pA.': '2378.69262695312', 'Amplitude..pA.': '2249.81399209159', 'Rise.Time..ms.': '0.0999999999997669', 'Half.Width..ms.': '0.14999999999965', 'Decay.Time..ms.': '0.0999999999997669', 'Decay.Fit.b0': '123.662176628624', 'Decay.Fit.b1': '2444.06670595001', 'Decay.Fit.Tau..ms.': '0.100012296839882', 'AUC..pA.ms.': '259.639827837263', 'rise_max_time': '10.368', 'baseline_time': '10.36785', 'event_index': '207360', 'file_prefix': '2023_08_23_0004', 'event_id': '2023_08_23_0004_ev00146_rec0', 'noise': 'yes', 'event_entry_number': '27009', 'corrected_peak_index': 207375, 'corrected_peak_time': np.float64(10.368749999999999), 'corrected_peak_pA': np.float64(133.514404296875), 'corrected_peak_amp_pA': np.float64(4.6357694353380055)}]",2023_08_23_0004.abf,207365,0
"[np.float64(60.3611), np.float64(60.361149999999995), np.float64(60.3612), np.float64(60.36125), np.float64(60.3613), np.float64(60.36135), np.float64(60.3614), np.float64(60.36145)]",207222,[],2023_08_23_0004.abf,207229,2
"[np.float64(85.30705), np.float64(85.3071), np.float64(85.30715), np.float64(85.3072), np.float64(85.30725), np.float64(85.3073), np.float64(85.30735), np.float64(85.3074), np.float64(85.30745)]",206141,"[{'Event.Number': '1435', 'Record': '3', 'Event.Time..s.': '85.3072', 'Baseline..pA.': '130.702427455357', 'Peak..pA.': '1206.0546875', 'Amplitude..pA.': '1075.35226004464', 'Rise.Time..ms.': '0.149999999990769', 'Half.Width..ms.': '0.149999999990769', 'Decay.Time..ms.': '0.10000000000332', 'Decay.Fit.b0': '120.964164561151', 'Decay.Fit.b1': '1127.64608435316', 'Decay.Fit.Tau..ms.': '0.0801611054288236', 'AUC..pA.ms.': '-79.3028794697352', 'rise_max_time': '85.3072', 'baseline_time': '85.307', 'event_index': '206144', 'file_prefix': '2023_08_23_0004', 'event_id': '2023_08_23_0004_ev01435_rec3', 'noise': 'yes', 'event_entry_number': '28298', 'corrected_peak_index': 206159, 'corrected_peak_time': np.float64(85.30795), 'corrected_peak_pA': np.float64(129.547119140625), 'corrected_peak_amp_pA': np.float64(-1.1553083147319967)}]",2023_08_23_0004.abf,206149,3
"[np.float64(10.42775), np.float64(10.4278), np.float64(10.42785), np.float64(10.4279), np.float64(10.42795), np.float64(10.427999999999999), np.float64(10.428049999999999), np.float64(10.428099999999999)]",208555,[],2023_08_23_0005.abf,208562,0
"[np.float64(35.31285), np.float64(35.3129), np.float64(35.31295), np.float64(35.312999999999995), np.float64(35.31305), np.float64(35.3131), np.float64(35.31314999999999), np.float64(35.313199999999995), np.float64(35.31325)]",206257,"[{'Event.Number': '595', 'Record': '1', 'Event.Time..s.': '35.313', 'Baseline..pA.': '142.371768043155', 'Peak..pA.': '1846.61853027344', 'Amplitude..pA.': '1704.24676223028', 'Rise.Time..ms.': '0.149999999997874', 'Half.Width..ms.': '0.149999999997874', 'Decay.Time..ms.': '0.10000000000332', 'Decay.Fit.b0': '136.679922524736', 'Decay.Fit.b1': '1778.45593493964', 'Decay.Fit.Tau..ms.': '0.0797726207777679', 'AUC..pA.ms.': '163.702085149856', 'rise_max_time': '35.313', 'baseline_time': '35.3128', 'event_index': '206260', 'file_prefix': '2023_08_23_0005', 'event_id': '2023_08_23_0005_ev00595_rec1', 'noise': 'yes', 'event_entry_number': '29128', 'corrected_peak_index': 206275, 'corrected_peak_time': np.float64(35.31375), 'corrected_peak_pA': np.float64(142.364501953125), 'corrected_peak_amp_pA': np.float64(-0.007266090029986572)}]",2023_08_23_0005.abf,206265,1
"[np.float64(60.17705), np.float64(60.177099999999996), np.float64(60.17715)]",203541,[],2023_08_23_0005.abf,203543,2
"[np.float64(85.54415), np.float64(85.5442), np.float64(85.54425), np.float64(85.5443), np.float64(85.54435), np.float64(85.5444), np.float64(85.54445), np.float64(85.5445)]",210883,"[{'Event.Number': '1452', 'Record': '3', 'Event.Time..s.': '85.5443', 'Baseline..pA.': '141.950334821429', 'Peak..pA.': '1360.47351074219', 'Amplitude..pA.': '1218.52317592076', 'Rise.Time..ms.': '0.150000000004979', 'Half.Width..ms.': '0.149999999990769', 'Decay.Time..ms.': '0.0999999999891088', 'Decay.Fit.b0': '129.791356339527', 'Decay.Fit.b1': '1275.7087088262', 'Decay.Fit.Tau..ms.': '0.0783206848166386', 'AUC..pA.ms.': '-119.838281604222', 'rise_max_time': '85.5443', 'baseline_time': '85.5441', 'event_index': '210886', 'file_prefix': '2023_08_23_0005', 'event_id': '2023_08_23_0005_ev01452_rec3', 'noise': 'yes', 'event_entry_number': '29985', 'corrected_peak_index': 210900, 'corrected_peak_time': np.float64(85.545), 'corrected_peak_pA': np.float64(138.702392578125), 'corrected_peak_amp_pA': np.float64(-3.24794224330401)}]",2023_08_23_0005.abf,210890,3
"[np.float64(9.14115), np.float64(9.1412), np.float64(9.14125), np.float64(9.1413), np.float64(9.14135)]",182823,[],2023_08_23_0033.abf,182827,0
"[np.float64(9.73205), np.float64(9.732099999999999), np.float64(9.732149999999999), np.float64(9.732199999999999), np.float64(9.732249999999999), np.float64(9.732299999999999), np.float64(9.732349999999999)]",194641,[],2023_08_23_0033.abf,194647,0
"[np.float64(10.646299999999998), np.float64(10.646349999999998), np.float64(10.6464), np.float64(10.64645), np.float64(10.6465), np.float64(10.64655), np.float64(10.6466), np.float64(10.64665), np.float64(10.6467)]",212926,[],2023_08_23_0033.abf,212934,0
"[np.float64(33.1089), np.float64(33.10894999999999), np.float64(33.108999999999995), np.float64(33.109049999999996), np.float64(33.1091), np.float64(33.10915), np.float64(33.109199999999994)]",162178,[],2023_08_23_0033.abf,162184,1
"[np.float64(33.7226), np.float64(33.722649999999994), np.float64(33.722699999999996), np.float64(33.72275), np.float64(33.7228), np.float64(33.722849999999994), np.float64(33.722899999999996), np.float64(33.72295)]",174452,[],2023_08_23_0033.abf,174459,1
"[np.float64(34.310199999999995), np.float64(34.310249999999996), np.float64(34.3103), np.float64(34.31035), np.float64(34.310399999999994), np.float64(34.310449999999996), np.float64(34.3105), np.float64(34.31055)]",186204,[],2023_08_23_0033.abf,186211,1
"[np.float64(35.733), np.float64(35.73305), np.float64(35.73309999999999), np.float64(35.733149999999995), np.float64(35.7332), np.float64(35.73325), np.float64(35.7333)]",214660,[],2023_08_23_0033.abf,214666,1
"[np.float64(57.7915), np.float64(57.79155), np.float64(57.7916), np.float64(57.79165), np.float64(57.7917), np.float64(57.79175), np.float64(57.7918), np.float64(57.79185), np.float64(57.7919)]",155830,"[{'Event.Number': '886', 'Record': '2', 'Event.Time..s.': '57.79175', 'Baseline..pA.': '-53.6105722683346', 'Peak..pA.': '-265.996939722019', 'Amplitude..pA.': '-212.386367453684', 'Rise.Time..ms.': '0.300000000002854', 'Half.Width..ms.': '0.300000000002854', 'Decay.Time..ms.': '0.0500000000016598', 'Decay.Fit.b0': '-51.1750994403964', 'Decay.Fit.b1': '-213.980078639469', 'Decay.Fit.Tau..ms.': '0.0568882926410314', 'AUC..pA.ms.': '-57.4319288919244', 'rise_max_time': '57.79175', 'baseline_time': '57.7914', 'event_index': '155835', 'file_prefix': '2023_08_23_0033', 'event_id': '2023_08_23_0033_ev00886_rec2', 'noise': 'yes', 'event_entry_number': '33890', 'corrected_peak_index': 155848, 'corrected_peak_time': np.float64(57.7924), 'corrected_peak_pA': np.float64(-56.304927825927734), 'corrected_peak_amp_pA': np.float64(-2.694355557593134)}]",2023_08_23_0033.abf,155838,2
"[np.float64(58.77045), np.float64(58.7705), np.float64(58.77055), np.float64(58.7706), np.float64(58.77065), np.float64(58.7707), np.float64(58.77075), np.float64(58.7708)]",175409,[],2023_08_23_0033.abf,175416,2
"[np.float64(83.09875), np.float64(83.0988), np.float64(83.09885), np.float64(83.0989), np.float64(83.09895), np.float64(83.099), np.float64(83.09905)]",161975,[],2023_08_23_0033.abf,161981,3
"[np.float64(83.82535), np.float64(83.8254), np.float64(83.82545), np.float64(83.8255), np.float64(83.82555)]",176507,[],2023_08_23_0033.abf,176511,3
"[np.float64(84.70105), np.float64(84.7011), np.float64(84.70115), np.float64(84.7012), np.float64(84.70125), np.float64(84.7013)]",194021,[],2023_08_23_0033.abf,194026,3
"[np.float64(85.6588), np.float64(85.65885), np.float64(85.6589), np.float64(85.65895), np.float64(85.659), np.float64(85.65905), np.float64(85.6591), np.float64(85.65915), np.float64(85.6592)]",213176,[],2023_08_23_0033.abf,213184,3
"[np.float64(1.4927499999999998), np.float64(1.4928), np.float64(1.4928499999999998), np.float64(1.4929), np.float64(1.4929499999999998), np.float64(1.4929999999999999), np.float64(1.4930499999999998), np.float64(1.4930999999999999)]",29855,[],2023_08_23_0034.abf,29862,0
"[np.float64(7.808599999999999), np.float64(7.808649999999999), np.float64(7.808699999999999), np.float64(7.808749999999999), np.float64(7.8088), np.float64(7.80885), np.float64(7.8088999999999995), np.float64(7.808949999999999)]",156172,[],2023_08_23_0034.abf,156179,0
"[np.float64(8.7938), np.float64(8.793849999999999), np.float64(8.793899999999999), np.float64(8.793949999999999), np.float64(8.793999999999999), np.float64(8.794049999999999), np.float64(8.794099999999998)]",175876,[],2023_08_23_0034.abf,175882,0
"[np.float64(9.81355), np.float64(9.8136), np.float64(9.813649999999999), np.float64(9.813699999999999), np.float64(9.813749999999999), np.float64(9.813799999999999), np.float64(9.813849999999999)]",196271,[],2023_08_23_0034.abf,196277,0
"[np.float64(10.649799999999999), np.float64(10.649849999999999), np.float64(10.649899999999999), np.float64(10.649949999999999), np.float64(10.649999999999999), np.float64(10.650049999999998), np.float64(10.650099999999998)]",212996,[],2023_08_23_0034.abf,213002,0
"[np.float64(58.79965), np.float64(58.7997), np.float64(58.79975), np.float64(58.7998), np.float64(58.79985), np.float64(58.7999), np.float64(58.799949999999995), np.float64(58.8)]",175993,[],2023_08_23_0034.abf,176000,2
"[np.float64(60.637699999999995), np.float64(60.63775), np.float64(60.6378), np.float64(60.63785), np.float64(60.6379), np.float64(60.63795), np.float64(60.638), np.float64(60.63805)]",212754,[],2023_08_23_0034.abf,212761,2
"[np.float64(83.7487), np.float64(83.74875), np.float64(83.7488), np.float64(83.74885), np.float64(83.7489), np.float64(83.74895), np.float64(83.749), np.float64(83.74905)]",174974,"[{'Event.Number': '1204', 'Record': '3', 'Event.Time..s.': '83.7489', 'Baseline..pA.': '-45.533116052453', 'Peak..pA.': '-322.610017032357', 'Amplitude..pA.': '-277.076900979904', 'Rise.Time..ms.': '0.10000000000332', 'Half.Width..ms.': '0.349999999997408', 'Decay.Time..ms.': '0.0999999999891088', 'Decay.Fit.b0': '-42.9976267034716', 'Decay.Fit.b1': '-282.196851711068', 'Decay.Fit.Tau..ms.': '0.123171425594855', 'AUC..pA.ms.': '-46.0909387752543', 'rise_max_time': '83.7487', 'baseline_time': '83.7486', 'event_index': '174978', 'file_prefix': '2023_08_23_0034', 'event_id': '2023_08_23_0034_ev01204_rec3', 'noise': 'yes', 'event_entry_number': '35991', 'corrected_peak_index': 174991, 'corrected_peak_time': np.float64(83.74955), 'corrected_peak_pA': np.float64(-48.370357513427734), 'corrected_peak_amp_pA': np.float64(-2.837241460974731)}]",2023_08_23_0034.abf,174981,3
