"time_noise","start_sample","matched_peak_rows","file","return_sample","sweep","Event_Time","Record","event_time","baseline_current","peak_current","amplitude","event_id","noise","event_index","file_prefix","baseline_time","event_entry_number"
"[np.float64(34.771499999999996), np.float64(34.77155), np.float64(34.7716), np.float64(34.771649999999994), np.float64(34.771699999999996), np.float64(34.77175)]",195430,"[{'Event.Number': '383', 'Record': '1', 'Event.Time..s.': '34.7717', 'Baseline..pA.': '74.7633049758693', 'Peak..pA.': '163.123965541435', 'Amplitude..pA.': '88.3606605655657', 'Rise.Time..ms.': '0.299999999995748', 'Half.Width..ms.': '0.400000000006173', 'Decay.Time..ms.': '0.500000000002387', 'Decay.Fit.b0': '74.9308569685742', 'Decay.Fit.b1': '49.0581556547982', 'Decay.Fit.Tau..ms.': '1.18156052651235', 'AUC..pA.ms.': '94.0529602707756', 'rise_max_time': '34.7717', 'baseline_time': '34.77135', 'event_index': '195434', 'file_prefix': '2023_08_23_0037', 'event_id': '2023_08_23_0037_ev00383_rec1', 'noise': 'no', 'event_entry_number': '37542', 'corrected_peak_index': 195445, 'corrected_peak_time': np.float64(34.77225), 'corrected_peak_pA': np.float64(89.26390838623047), 'corrected_peak_amp_pA': np.float64(14.500603410361165)}]","2023_08_23_0037.abf",195435,1,"383","1","34.7717","74.7633049758693","163.123965541435","88.3606605655657","2023_08_23_0037_ev00383_rec1","no","195434","2023_08_23_0037","34.77135","37542"
"[np.float64(82.74145), np.float64(82.7415), np.float64(82.74155), np.float64(82.7416), np.float64(82.74164999999999), np.float64(82.7417), np.float64(82.74175), np.float64(82.7418)]",154829,"[{'Event.Number': '917', 'Record': '3', 'Event.Time..s.': '82.74165', 'Baseline..pA.': '70.0555492505552', 'Peak..pA.': '376.483798595738', 'Amplitude..pA.': '306.428249345182', 'Rise.Time..ms.': '0.249999999994088', 'Half.Width..ms.': '0.299999999995748', 'Decay.Time..ms.': '0.10000000000332', 'Decay.Fit.b0': '74.5888025954836', 'Decay.Fit.b1': '294.590691520435', 'Decay.Fit.Tau..ms.': '0.0717950231253931', 'AUC..pA.ms.': '303.120153993752', 'rise_max_time': '82.74165', 'baseline_time': '82.74135', 'event_index': '154833', 'file_prefix': '2023_08_23_0038', 'event_id': '2023_08_23_0038_ev00917_rec3', 'noise': 'no', 'event_entry_number': '39186', 'corrected_peak_index': 154846, 'corrected_peak_time': np.float64(82.7423), 'corrected_peak_pA': np.float64(98.41918182373047), 'corrected_peak_amp_pA': np.float64(28.363632573175266)}]","2023_08_23_0038.abf",154836,3,"917","3","82.74165","70.0555492505552","376.483798595738","306.428249345182","2023_08_23_0038_ev00917_rec3","no","154833","2023_08_23_0038","82.74135","39186"
"[np.float64(9.920649999999998), np.float64(9.920699999999998), np.float64(9.92075), np.float64(9.9208), np.float64(9.92085), np.float64(9.9209), np.float64(9.92095)]",198413,"[{'Event.Number': '185', 'Record': '0', 'Event.Time..s.': '9.9209', 'Baseline..pA.': '-68.7020970632207', 'Peak..pA.': '-77.9309802604622', 'Amplitude..pA.': '-9.22888319724153', 'Rise.Time..ms.': '0.300000000001077', 'Half.Width..ms.': '0', 'Decay.Time..ms.': '0', 'Decay.Fit.b0': '-63.2428868598379', 'Decay.Fit.b1': '-6.35574345825814', 'Decay.Fit.Tau..ms.': '4.36621139865607', 'AUC..pA.ms.': '124.376621908803', 'rise_max_time': '9.9209', 'baseline_time': '9.9206', 'event_index': '198418', 'file_prefix': '2024_06_06_0041', 'event_id': '2024_06_06_0041_ev00185_rec0', 'noise': 'no', 'event_entry_number': '134185', 'corrected_peak_index': 198429, 'corrected_peak_time': np.float64(9.921449999999998), 'corrected_peak_pA': np.float64(-75.37841796875), 'corrected_peak_amp_pA': np.float64(-6.676320905529295)}]","2024_06_06_0041.abf",198419,0,"185","0","9.9209","-68.7020970632207","-77.9309802604622","-9.22888319724153","2024_06_06_0041_ev00185_rec0","no","198418","2024_06_06_0041","9.9206","134185"
"[np.float64(27.971749999999997), np.float64(27.971799999999995), np.float64(27.971849999999996), np.float64(27.971899999999998), np.float64(27.971949999999996), np.float64(27.971999999999998), np.float64(27.972049999999996), np.float64(27.972099999999998), np.float64(27.972149999999996)]",59435,"[{'Event.Number': '326', 'Record': '1', 'Event.Time..s.': '27.972', 'Baseline..pA.': '71.0522675227024', 'Peak..pA.': '566.759620662774', 'Amplitude..pA.': '495.707353140072', 'Rise.Time..ms.': '0', 'Half.Width..ms.': '0.0499999999981071', 'Decay.Time..ms.': '0.0499999999981071', 'Decay.Fit.b0': '58.0135775391016', 'Decay.Fit.b1': '510.430538031369', 'Decay.Fit.Tau..ms.': '0.0412752472794971', 'AUC..pA.ms.': '-202.302489209988', 'rise_max_time': '27.972', 'baseline_time': '27.97185', 'event_index': '59440', 'file_prefix': '2024_06_20_0019', 'event_id': '2024_06_20_0019_ev00326_rec1', 'noise': 'no', 'event_entry_number': '167089', 'corrected_peak_index': 59453, 'corrected_peak_time': np.float64(27.972649999999998), 'corrected_peak_pA': np.float64(66.71142578125), 'corrected_peak_amp_pA': np.float64(-4.340841741452394)}]","2024_06_20_0019.abf",59443,1,"326","1","27.972","71.0522675227024","566.759620662774","495.707353140072","2024_06_20_0019_ev00326_rec1","no","59440","2024_06_20_0019","27.97185","167089"
"[np.float64(39.244949999999996), np.float64(39.245), np.float64(39.24505), np.float64(39.245099999999994), np.float64(39.245149999999995), np.float64(39.2452), np.float64(39.24525)]",284899,"[{'Event.Number': '512', 'Record': '1', 'Event.Time..s.': '39.24515', 'Baseline..pA.': '91.744554247175', 'Peak..pA.': '137.0849609375', 'Amplitude..pA.': '45.3404066903251', 'Rise.Time..ms.': '0.249999999994088', 'Half.Width..ms.': '30.2499999999952', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '89.6268788918678', 'Decay.Fit.b1': '-28.2291587653799', 'Decay.Fit.Tau..ms.': '23.1010425023252', 'AUC..pA.ms.': '-509.914688597832', 'rise_max_time': '39.24515', 'baseline_time': '39.2449', 'event_index': '284903', 'file_prefix': '2024_06_20_0019', 'event_id': '2024_06_20_0019_ev00512_rec1', 'noise': 'no', 'event_entry_number': '167275', 'corrected_peak_index': 284915, 'corrected_peak_time': np.float64(39.24575), 'corrected_peak_pA': np.float64(82.64159393310547), 'corrected_peak_amp_pA': np.float64(-9.102960314069534)}]","2024_06_20_0019.abf",284905,1,"512","1","39.24515","91.744554247175","137.0849609375","45.3404066903251","2024_06_20_0019_ev00512_rec1","no","284903","2024_06_20_0019","39.2449","167275"
"[np.float64(39.364399999999996), np.float64(39.36445), np.float64(39.3645), np.float64(39.364549999999994), np.float64(39.364599999999996), np.float64(39.36465), np.float64(39.3647)]",287288,"[{'Event.Number': '516', 'Record': '1', 'Event.Time..s.': '39.36445', 'Baseline..pA.': '90.0035994393485', 'Peak..pA.': '480.163543701172', 'Amplitude..pA.': '390.159944261823', 'Rise.Time..ms.': '0.149999999997874', 'Half.Width..ms.': '0.149999999997874', 'Decay.Time..ms.': '0.149999999997874', 'Decay.Fit.b0': '60.1724262202274', 'Decay.Fit.b1': '487.474000375504', 'Decay.Fit.Tau..ms.': '0.144563765083714', 'AUC..pA.ms.': '-802.537409355598', 'rise_max_time': '39.36445', 'baseline_time': '39.3643', 'event_index': '287289', 'file_prefix': '2024_06_20_0019', 'event_id': '2024_06_20_0019_ev00516_rec1', 'noise': 'no', 'event_entry_number': '167279', 'corrected_peak_index': 287304, 'corrected_peak_time': np.float64(39.3652), 'corrected_peak_pA': np.float64(91.73583221435547), 'corrected_peak_amp_pA': np.float64(1.7322327750069633)}]","2024_06_20_0019.abf",287294,1,"516","1","39.36445","90.0035994393485","480.163543701172","390.159944261823","2024_06_20_0019_ev00516_rec1","no","287289","2024_06_20_0019","39.3643","167279"
"[np.float64(85.85845), np.float64(85.8585), np.float64(85.85855), np.float64(85.8586), np.float64(85.85865), np.float64(85.8587), np.float64(85.85875)]",217169,"[{'Event.Number': '594', 'Record': '3', 'Event.Time..s.': '85.85865', 'Baseline..pA.': '-106.404614766439', 'Peak..pA.': '-234.374984741211', 'Amplitude..pA.': '-127.970369974772', 'Rise.Time..ms.': '0.349999999997408', 'Half.Width..ms.': '0.499999999988177', 'Decay.Time..ms.': '0.399999999999068', 'Decay.Fit.b0': '-105.801848745038', 'Decay.Fit.b1': '-127.086939298277', 'Decay.Fit.Tau..ms.': '0.38453029907712', 'AUC..pA.ms.': '-72.0774336496991', 'rise_max_time': '85.85865', 'baseline_time': '85.8583', 'event_index': '217173', 'file_prefix': '2026_01_14_0002', 'event_id': '2026_01_14_0002_ev00594_rec3', 'noise': 'no', 'event_entry_number': '264954', 'corrected_peak_index': 217185, 'corrected_peak_time': np.float64(85.85925), 'corrected_peak_pA': np.float64(-131.53076171875), 'corrected_peak_amp_pA': np.float64(-25.126146952311004)}]","2026_01_14_0002.abf",217175,3,"594","3","85.85865","-106.404614766439","-234.374984741211","-127.970369974772","2026_01_14_0002_ev00594_rec3","no","217173","2026_01_14_0002","85.8583","264954"
"[np.float64(10.789549999999998), np.float64(10.789599999999998), np.float64(10.789649999999998), np.float64(10.7897), np.float64(10.78975), np.float64(10.7898)]",215791,"[{'Event.Number': '243', 'Record': '0', 'Event.Time..s.': '10.78975', 'Baseline..pA.': '-175.853895641509', 'Peak..pA.': '-299.98779296875', 'Amplitude..pA.': '-124.133897327241', 'Rise.Time..ms.': '10.4000000000006', 'Half.Width..ms.': '0.250000000001194', 'Decay.Time..ms.': '1.54999999999994', 'Decay.Fit.b0': '-181.031613351699', 'Decay.Fit.b1': '-45.6275931053132', 'Decay.Fit.Tau..ms.': '13.8532053336304', 'AUC..pA.ms.': '-1125.03596485683', 'rise_max_time': '10.78975', 'baseline_time': '10.77885', 'event_index': '215795', 'file_prefix': '2026_01_20_0007', 'event_id': '2026_01_20_0007_ev00243_rec0', 'noise': 'no', 'event_entry_number': '307204', 'corrected_peak_index': 215806, 'corrected_peak_time': np.float64(10.790299999999998), 'corrected_peak_pA': np.float64(-224.91453552246094), 'corrected_peak_amp_pA': np.float64(-49.060639880951925)}]","2026_01_20_0007.abf",215796,0,"243","0","10.78975","-175.853895641509","-299.98779296875","-124.133897327241","2026_01_20_0007_ev00243_rec0","no","215795","2026_01_20_0007","10.77885","307204"
"[np.float64(5.14525), np.float64(5.1453), np.float64(5.14535), np.float64(5.1453999999999995), np.float64(5.145449999999999), np.float64(5.145499999999999)]",102905,"[{'Event.Number': '67', 'Record': '0', 'Event.Time..s.': '5.14535', 'Baseline..pA.': '266.164326895739', 'Peak..pA.': '448.048816246018', 'Amplitude..pA.': '181.884489350279', 'Rise.Time..ms.': '0.300000000000189', 'Half.Width..ms.': '0.300000000000189', 'Decay.Time..ms.': '0.199999999999534', 'Decay.Fit.b0': '269.63346688732', 'Decay.Fit.b1': '175.016073344497', 'Decay.Fit.Tau..ms.': '0.199501651827642', 'AUC..pA.ms.': '170.340576585547', 'rise_max_time': '5.1453', 'baseline_time': '5.145', 'event_index': '102907', 'file_prefix': '2026_01_20_0026', 'event_id': '2026_01_20_0026_ev00067_rec0', 'noise': 'no', 'event_entry_number': '328093', 'corrected_peak_index': 102920, 'corrected_peak_time': np.float64(5.146), 'corrected_peak_pA': np.float64(292.05322265625), 'corrected_peak_amp_pA': np.float64(25.88889576051099)}]","2026_01_20_0026.abf",102910,0,"67","0","5.14535","266.164326895739","448.048816246018","181.884489350279","2026_01_20_0026_ev00067_rec0","no","102907","2026_01_20_0026","5.145","328093"
"[np.float64(33.139599999999994), np.float64(33.139649999999996), np.float64(33.1397), np.float64(33.13975), np.float64(33.139799999999994), np.float64(33.139849999999996), np.float64(33.1399), np.float64(33.13995), np.float64(33.14)]",162792,"[{'Event.Number': '67', 'Record': '1', 'Event.Time..s.': '33.13985', 'Baseline..pA.': '-22.7822382812183', 'Peak..pA.': '-88.5562469129961', 'Amplitude..pA.': '-65.7740086317778', 'Rise.Time..ms.': '0.349999999997408', 'Half.Width..ms.': '0.499999999995282', 'Decay.Time..ms.': '0.250000000001194', 'Decay.Fit.b0': '-24.4975637914797', 'Decay.Fit.b1': '-59.912914977197', 'Decay.Fit.Tau..ms.': '0.278358623337327', 'AUC..pA.ms.': '-96.6708568778968', 'rise_max_time': '33.13985', 'baseline_time': '33.13945', 'event_index': '162797', 'file_prefix': '2026_01_22_0016', 'event_id': '2026_01_22_0016_ev00067_rec1', 'noise': 'no', 'event_entry_number': '357172', 'corrected_peak_index': 162810, 'corrected_peak_time': np.float64(33.140499999999996), 'corrected_peak_pA': np.float64(-30.822751998901367), 'corrected_peak_amp_pA': np.float64(-8.040513717683066)}]","2026_01_22_0016.abf",162800,1,"67","1","33.13985","-22.7822382812183","-88.5562469129961","-65.7740086317778","2026_01_22_0016_ev00067_rec1","no","162797","2026_01_22_0016","33.13945","357172"
